Id,Category
0,1
1,5
2,1
3,6
4,3
5,9
6,7
7,4
8,3
9,8
10,0
11,6
12,0
13,8
14,1
15,6
16,5
17,6
18,2
19,2
20,1
21,1
22,6
23,2
24,1
25,8
26,5
27,1
28,5
29,5
30,0
31,0
32,0
33,1
34,3
35,6
36,7
37,2
38,1
39,3
40,1
41,6
42,1
43,4
44,7
45,4
46,3
47,0
48,6
49,7
50,6
51,5
52,8
53,0
54,6
55,5
56,3
57,6
58,8
59,2
60,2
61,9
62,9
63,5
64,1
65,1
66,8
67,1
68,8
69,8
70,9
71,0
72,5
73,0
74,2
75,5
76,5
77,7
78,8
79,9
80,5
81,0
82,8
83,5
84,2
85,9
86,6
87,5
88,8
89,3
90,7
91,9
92,6
93,6
94,6
95,1
96,0
97,5
98,0
99,5
100,2
101,7
102,1
103,0
104,0
105,8
106,0
107,4
108,9
109,4
110,3
111,2
112,4
113,5
114,1
115,2
116,4
117,4
118,9
119,0
120,5
121,2
122,5
123,7
124,0
125,5
126,5
127,3
128,6
129,3
130,6
131,4
132,8
133,5
134,1
135,3
136,1
137,5
138,6
139,0
140,9
141,5
142,2
143,9
144,2
145,8
146,8
147,6
148,1
149,9
150,8
151,2
152,0
153,1
154,2
155,7
156,5
157,7
158,8
159,7
160,2
161,2
162,7
163,8
164,8
165,9
166,2
167,7
168,4
169,3
170,5
171,6
172,7
173,1
174,5
175,9
176,1
177,9
178,2
179,7
180,9
181,4
182,1
183,0
184,4
185,4
186,2
187,4
188,4
189,6
190,7
191,3
192,3
193,1
194,3
195,3
196,4
197,2
198,0
199,7
200,0
201,4
202,7
203,0
204,7
205,9
206,8
207,7
208,1
209,4
210,2
211,7
212,6
213,8
214,5
215,5
216,2
217,6
218,9
219,7
220,5
221,5
222,9
223,1
224,4
225,8
226,8
227,5
228,5
229,6
230,9
231,5
232,5
233,4
234,2
235,5
236,0
237,4
238,6
239,1
240,7
241,0
242,3
243,8
244,1
245,2
246,0
247,8
248,5
249,1
250,7
251,4
252,9
253,8
254,4
255,1
256,1
257,0
258,4
259,2
260,8
261,9
262,5
263,7
264,6
265,4
266,8
267,8
268,7
269,4
270,5
271,6
272,4
273,8
274,8
275,6
276,5
277,1
278,4
279,7
280,3
281,1
282,7
283,7
284,4
285,7
286,2
287,2
288,4
289,1
290,3
291,6
292,1
293,4
294,4
295,7
296,0
297,4
298,5
299,8
300,0
301,2
302,3
303,2
304,2
305,5
306,9
307,9
308,6
309,3
310,1
311,8
312,7
313,5
314,8
315,5
316,5
317,5
318,6
319,9
320,8
321,1
322,5
323,4
324,0
325,7
326,3
327,5
328,0
329,5
330,8
331,9
332,2
333,0
334,6
335,1
336,2
337,4
338,7
339,1
340,0
341,8
342,8
343,0
344,0
345,3
346,8
347,3
348,0
349,5
350,8
351,2
352,6
353,7
354,0
355,5
356,8
